  [relu-high-lr] Epoch 1/15 val_acc=0.6432 dead_neurons=[np.int64(0), np.int64(3), np.int64(9)]
  [relu-high-lr] Epoch 2/15 val_acc=0.6807 dead_neurons=[np.int64(0), np.int64(4), np.int64(12)]
  [relu-high-lr] Epoch 3/15 val_acc=0.7238 dead_neurons=[np.int64(0), np.int64(6), np.int64(14)]
  [relu-high-lr] Epoch 4/15 val_acc=0.7498 dead_neurons=[np.int64(0), np.int64(6), np.int64(15)]
  [relu-high-lr] Epoch 5/15 val_acc=0.7788 dead_neurons=[np.int64(0), np.int64(6), np.int64(15)]
  [relu-high-lr] Epoch 6/15 val_acc=0.7912 dead_neurons=[np.int64(0), np.int64(8), np.int64(15)]
  [relu-high-lr] Epoch 7/15 val_acc=0.8022 dead_neurons=[np.int64(0), np.int64(8), np.int64(15)]
  [relu-high-lr] Epoch 8/15 val_acc=0.8055 dead_neurons=[np.int64(0), np.int64(8), np.int64(15)]
  [relu-high-lr] Epoch 9/15 val_acc=0.8190 dead_neurons=[np.int64(0), np.int64(8), np.int64(16)]
  [relu-high-lr] Epoch 10/15 val_acc=0.8248 dead_neurons=[np.int64(0), np.int64(8), np.int64(17)]
  [relu-high-lr] Epoch 11/15 val_acc=0.8283 dead_neurons=[np.int64(0), np.int64(7), np.int64(16)]
  [relu-high-lr] Epoch 12/15 val_acc=0.8292 dead_neurons=[np.int64(0), np.int64(7), np.int64(18)]
  [relu-high-lr] Epoch 13/15 val_acc=0.8308 dead_neurons=[np.int64(0), np.int64(8), np.int64(18)]
  [relu-high-lr] Epoch 14/15 val_acc=0.8382 dead_neurons=[np.int64(0), np.int64(8), np.int64(18)]
  [relu-high-lr] Epoch 15/15 val_acc=0.8343 dead_neurons=[np.int64(0), np.int64(7), np.int64(18)]
