  [relu-normal-lr] Epoch 1/15 val_acc=0.0942 dead_neurons=[np.int64(0), np.int64(3), np.int64(3)]
  [relu-normal-lr] Epoch 2/15 val_acc=0.0963 dead_neurons=[np.int64(0), np.int64(3), np.int64(3)]
  [relu-normal-lr] Epoch 3/15 val_acc=0.0998 dead_neurons=[np.int64(0), np.int64(2), np.int64(3)]
  [relu-normal-lr] Epoch 4/15 val_acc=0.1018 dead_neurons=[np.int64(0), np.int64(2), np.int64(3)]
  [relu-normal-lr] Epoch 5/15 val_acc=0.1067 dead_neurons=[np.int64(0), np.int64(2), np.int64(4)]
  [relu-normal-lr] Epoch 6/15 val_acc=0.1150 dead_neurons=[np.int64(0), np.int64(2), np.int64(5)]
  [relu-normal-lr] Epoch 7/15 val_acc=0.1303 dead_neurons=[np.int64(0), np.int64(2), np.int64(5)]
  [relu-normal-lr] Epoch 8/15 val_acc=0.1472 dead_neurons=[np.int64(0), np.int64(2), np.int64(5)]
  [relu-normal-lr] Epoch 9/15 val_acc=0.1617 dead_neurons=[np.int64(0), np.int64(2), np.int64(5)]
  [relu-normal-lr] Epoch 10/15 val_acc=0.1752 dead_neurons=[np.int64(0), np.int64(2), np.int64(5)]
  [relu-normal-lr] Epoch 11/15 val_acc=0.1873 dead_neurons=[np.int64(0), np.int64(3), np.int64(5)]
  [relu-normal-lr] Epoch 12/15 val_acc=0.1950 dead_neurons=[np.int64(0), np.int64(3), np.int64(5)]
  [relu-normal-lr] Epoch 13/15 val_acc=0.2020 dead_neurons=[np.int64(0), np.int64(3), np.int64(5)]
  [relu-normal-lr] Epoch 14/15 val_acc=0.2110 dead_neurons=[np.int64(0), np.int64(3), np.int64(5)]
  [relu-normal-lr] Epoch 15/15 val_acc=0.2213 dead_neurons=[np.int64(0), np.int64(3), np.int64(5)]
