  [tanh-high-lr] Epoch 1/15 val_acc=0.6847 dead_neurons=[np.int64(2), np.int64(0), np.int64(0)]
  [tanh-high-lr] Epoch 2/15 val_acc=0.7357 dead_neurons=[np.int64(2), np.int64(0), np.int64(0)]
  [tanh-high-lr] Epoch 3/15 val_acc=0.7697 dead_neurons=[np.int64(2), np.int64(0), np.int64(0)]
  [tanh-high-lr] Epoch 4/15 val_acc=0.7882 dead_neurons=[np.int64(2), np.int64(0), np.int64(0)]
  [tanh-high-lr] Epoch 5/15 val_acc=0.7973 dead_neurons=[np.int64(3), np.int64(0), np.int64(0)]
  [tanh-high-lr] Epoch 6/15 val_acc=0.8082 dead_neurons=[np.int64(3), np.int64(0), np.int64(0)]
  [tanh-high-lr] Epoch 7/15 val_acc=0.8128 dead_neurons=[np.int64(3), np.int64(0), np.int64(0)]
  [tanh-high-lr] Epoch 8/15 val_acc=0.8182 dead_neurons=[np.int64(4), np.int64(0), np.int64(0)]
  [tanh-high-lr] Epoch 9/15 val_acc=0.8243 dead_neurons=[np.int64(4), np.int64(0), np.int64(0)]
  [tanh-high-lr] Epoch 10/15 val_acc=0.8288 dead_neurons=[np.int64(4), np.int64(0), np.int64(0)]
  [tanh-high-lr] Epoch 11/15 val_acc=0.8340 dead_neurons=[np.int64(4), np.int64(0), np.int64(0)]
  [tanh-high-lr] Epoch 12/15 val_acc=0.8352 dead_neurons=[np.int64(4), np.int64(0), np.int64(0)]
  [tanh-high-lr] Epoch 13/15 val_acc=0.8365 dead_neurons=[np.int64(4), np.int64(0), np.int64(0)]
  [tanh-high-lr] Epoch 14/15 val_acc=0.8380 dead_neurons=[np.int64(4), np.int64(0), np.int64(0)]
  [tanh-high-lr] Epoch 15/15 val_acc=0.8403 dead_neurons=[np.int64(4), np.int64(0), np.int64(0)]
