  [tanh-normal-lr] Epoch 1/15 val_acc=0.1615 dead_neurons=[np.int64(3), np.int64(0), np.int64(0)]
  [tanh-normal-lr] Epoch 2/15 val_acc=0.1897 dead_neurons=[np.int64(2), np.int64(0), np.int64(0)]
  [tanh-normal-lr] Epoch 3/15 val_acc=0.2098 dead_neurons=[np.int64(2), np.int64(0), np.int64(0)]
  [tanh-normal-lr] Epoch 4/15 val_acc=0.2295 dead_neurons=[np.int64(2), np.int64(0), np.int64(0)]
  [tanh-normal-lr] Epoch 5/15 val_acc=0.2510 dead_neurons=[np.int64(2), np.int64(0), np.int64(0)]
  [tanh-normal-lr] Epoch 6/15 val_acc=0.2733 dead_neurons=[np.int64(2), np.int64(0), np.int64(0)]
  [tanh-normal-lr] Epoch 7/15 val_acc=0.3052 dead_neurons=[np.int64(2), np.int64(0), np.int64(0)]
  [tanh-normal-lr] Epoch 8/15 val_acc=0.3428 dead_neurons=[np.int64(2), np.int64(0), np.int64(0)]
  [tanh-normal-lr] Epoch 9/15 val_acc=0.3770 dead_neurons=[np.int64(2), np.int64(0), np.int64(0)]
  [tanh-normal-lr] Epoch 10/15 val_acc=0.4048 dead_neurons=[np.int64(2), np.int64(0), np.int64(0)]
  [tanh-normal-lr] Epoch 11/15 val_acc=0.4280 dead_neurons=[np.int64(2), np.int64(0), np.int64(0)]
  [tanh-normal-lr] Epoch 12/15 val_acc=0.4458 dead_neurons=[np.int64(2), np.int64(0), np.int64(0)]
  [tanh-normal-lr] Epoch 13/15 val_acc=0.4617 dead_neurons=[np.int64(2), np.int64(0), np.int64(0)]
  [tanh-normal-lr] Epoch 14/15 val_acc=0.4745 dead_neurons=[np.int64(2), np.int64(0), np.int64(0)]
  [tanh-normal-lr] Epoch 15/15 val_acc=0.4850 dead_neurons=[np.int64(2), np.int64(0), np.int64(0)]
